id,text,label
1,Sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi Aj aur aj bi sirf Aus say bus,0
2,sahi bt h,0
3,"Kya bt hai,",0
4,Wah je wah,0
5,Are wha kaya bat hai,0
6,Wah kya baat likhi,0
7,Wha Itni sari khubiya,0
8,Itni khubiya,0
9,Ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,0
10,Please Everyone AllAh S.w.T ka naam hAmesha Bary Lawzo main Likha kary Wo he Zaat sUb say Bari Hey,0
11,Ya mere rab tu bra kreem hy is mulk k halat PR reham frma. Is watn.e.Aziz ki hifazat frma.amin,0
12,jaago Pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam ko hi martey han jaago Pakistan key logo,0
13,kia kia jae .kon sacha ha ALLAH JANY .PAK KESE BDL SAKTA HA I THINK 7 NSL TO ASE E GUZR JAIN GI BD ME koi hua to pta ni,0
14,afsos hota hai garip insan kha jay Allah ki lati me awaz hai jo zulum kry ga Allah ki lati pary gi,0
15,Allah insaaf karey,0
16,ALLAH MUSALMAN PHIR DOR E JAHALAT ME JARAHA H HIYADAY FARMA AESE LOGO KO JO AWAM KI ZINDGIYO KO AZAB BANA RAHY HAI INKO TO GARAK KARDY,0
17,Je Thik Kaha Right,0
18,jee ye to he,0
19,Maa cheez e ASE ha jis ka koi namil Badl Ni,0
20,Wah wah yeh toh hy,0
21,jee ye to he,0
22,Zenda bad yar,0
23,Es leay Muskurany ki koshish kia karo Es se wo loug ju apk Rouny pr muskuraty hain wo Loug phir apki hansi pe jalyn gy.,0
24,Wha bhut qoob,0
25,"right
Or sada time same nahi rehtaaaaaa",0
26,Wha wha kaya bat hai,0
27,Bohat khoob so true Alhamdulillah,0
28,dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,0
29,Sjdo me bhi wo hi pda he jis k dil me khuda ka Dr he .,0
30,Beshaq haq baat hai,0
31,Right ha but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,0
32,Right mara jasa masom log,0
33,MashaAllah.,0
34,Mubarak,0
35,Ma hun Hero tara <3,0
36,Feel kar speed bot ki <3,0
37,"Isy Kahty han hop hip hop <3

:* Powered By :* Abraham Tamim :*",0
38,Great Aadmi Aadmi,0
39,In England Attaullah Esakhelvi married with a Pakistani ethnography British lady,0
40,He has one son with her,0
41,"He got second marriage with Bazgha, she is famous manuscript actress and they have only daughter named Laraib and only son named Sanwal",0
42,He received honorable award from the Government of Pakistan and Life time achievement award from the queen of England,0
43,He entered in Guinness book of World record for the singer of most recorded albums,0
44,"Attaullah Esakhelvi ka shumar un gine chune artists mein kiya jata hai, jin ki maqboliyat, mutarrif hone se le kar shohrat ke urooj tak pohanchne tak radio, TV ya film ke marhoon e minnat nahi hai",0
45,Agarcha aise artists mein Munni Begum aur Aziz Miyan qawaal ka naam bhi shamil hai,0
46,Lekin top of the list Attaullah Esakhelvi ka naam he samjha jata hai,0
47,"Jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai, dilchasp bhi aur kar hawalon se qabil e taqleed bhi",0
48,In mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,0
49,Jab school teachers ne in ki awaaz suni to Mukesh aur Rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna,0
50,Wohi un ki infaradiyat bana,0
51,"Yahin qismat ki devi un par meharban hui aur “ Rehmat Gramophone House ” naami aik company ne un ke songs ki recording ki… “ Udhar Zindagi Ka Janaza Uthega ” aur Saraiki geet “ Naki Jae Gal Tu Rus Naa Ae Dhola ” ( Choti si baat par naraz ho jate ho maahi ), jab market mein aae to jaise hulchul mach gai",0
52,Har taraf ataullah Niazi ki singing ka charcha hone laga,0
53,Lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,0
54,Radio aur TV jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain,0
55,"Lekin dosri taraf village, dehaat, qasbon, buses, wagons aur chae khano mein Attaullah Esakhelvi ki awaaz ka tota bol raha tha",0
56,Taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke Attaullah Esakhelvi ki cassette lagaoge ?Mianwali ke logon ne inhe bataya ke tumhare naam se Esakhel mein hotel khul gae hain,0
57,"Jagah jagah tumhari taswirein lagi hain aur Mianwali mein sirf tumhari cassette he farokht hoti hai, to Attaullah Esakhelvi ne phir Esakhel jane ka qasd kiya",0
58,Phir yeh hua ke radio Pakistan ke farmaishi naghmon ke programs mein 90 % log Attaullah Esakhelvi ke songs ki farmaiysh karte,0
59,Radio hukkam par bhi is hawale se dabao dala jata ke wo apni nashriyat mein Attaullah Esakhelvi ko madaoo karen aur aakhirkar majboor ho kar Attaullah Esakhelvi se radio Pakistan aane ki darkhuwast karni parhi,0
60,70 ki dehaai ka yeh wo zamana tha jab Attaullah Esakhelvi aik cassette ki recording ka muaawza 1 lac rupees liya karte the,0
61,"Tahum radio par songs ka muaawza inhe 60 rupey ka cheque mila, jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai",0
62,Sirf yehi nahi bal ke radio par recording se qabal inhe audition ( Awaaz Ki Qaulity ka Imtehaan ) kea mal se bhi guzarna parha,0
63,"Phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms, cars ke sound systems aur video libraries mein jagah bana li",0
64,Beron e mulk basne wale Pakistani jab Watan aate to doston aur aehbaab ki farmaiysh pori karne ke liye barhi tadaad mein in ke cassette tohfatan le kar jate,0
65,Is tarah Europe aur Mashriq Wastee mein bhi wo Pakistan ki aik manoos aur maqbool awaaz ban gae,0
66,1980 mein inho ne pehli martaba British ka tour kiya to wahan bhi dhoom macha di,0
67,Diyar e ghair mein basne wale in ke songs sunn kar apno ko yaad karte to in ki aankhon se aansoo rawaa’n ho jate,0
68,Naujawan ladke aur ladkiyan walihana raqs karte to gorey bhi be saakhti ke aalam mein in ka sath dete,0
69,England aamad o raft ka silsila shuru hua to aik Pakistani nasaad British ladki ko dil de bethe,0
70,Is tarah wo aaj tak sab ke Lala he hain,0
71,Yeh aezaaz ab tak Attaullah Esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain,0
72,Inho ne hukomat e Pakistan se tamgha e imtiaz hasil karne ke sath Malika British se life time achievement award bhi hasil kiya hai,0
73,1994 mein in ka naam sab se ziyada audio albums recorder karane wale singer ke hawale se Guinness Book of World record mein bhi darj tha,0
74,Torkham se Karachi tak truck drivers ka safar un ki awaaz ke sath hota hai,0
75,"President Ayyab Khan, Mohtarma Fatima Jinnah, baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain, Lekin Attaullah Esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai",0
76,She played a fantastic role in the drama serial “ Aangan Terha ” with Shakeel Siddiqui and Saleem Nasir ( Late ),0
77,Bushra ansari received many more different prizes and awards in her life,0
78,She received an award of Pride of performance and Women life achievement award from Benazir Bhutto,0
79,She won the PTV award and Lux style award also,0
80,Bushra ansari performed interesting role in the film “Abhi To Main Jawan Hon” from Geo TV,0
